# AGAGE GCMD data release schedule
# DO NOT CHANGE THE FORMAT OF THIS SPREADSHEET
# ALL GRID CELLS MUST BE IN TEXT FORMAT (NOT DATE FORMAT)
# Date format YYYY-MM-DD HH:MM
# All data will be processed until the general release date unless specified in the table
# x indicates that no part of the record will be processed
# General release date: 2024-04-01 00:00
Species,MHD
hfc-134a,1998-01-20 00:00
hfc-152a,1998-01-20 00:00
hcfc-141b,1998-01-20 00:00
hcfc-142b,1998-01-20 00:00
chcl3,1998-01-20 00:00
ch2cl2,1998-01-20 00:00
h-1211,1998-01-20 00:00
