# Mole fraction data during the ranges in this worksheet will be excluded
# Date format must by YYYY-MM-DD HH:MM
# Make sure that the cell format is text rather than Excel's date format
Species,Instrument,Start,End,Notes
hcfc-141b,GCMS-Medusa,1970-01-01 00:00,2023-05-17 00:00,uncorrected drift in quaternery fixed in July 2024
c3f8,GCTOFMS,1970-01-01 00:01,2022-09-17 00:00,only release FasQuad data after mass spec change
c4f8,GCTOFMS,1970-01-01 00:02,2022-09-17 00:00,only release FasQuad data after mass spec change
hfc-236fa,GCTOFMS,1970-01-01 00:03,2022-09-17 00:00,only release FasQuad data after mass spec change
hfc-245fa,GCTOFMS,1970-01-01 00:04,2022-09-17 00:00,only release FasQuad data after mass spec change
hcfc-22,GCTOFMS,1970-01-01 00:05,2022-11-01 00:00,only release FasQuad data after mass spec change
cfc-115,GCTOFMS,1970-01-01 00:06,2022-09-17 00:00,only release FasQuad data after mass spec change
h-1211,GCTOFMS,1970-01-01 00:07,2022-09-17 00:00,only release FasQuad data after mass spec change
